Название,Артикул,Категория,Цена без карты,Цена с картой
Гибкая черепица DOCKE Pie Basic Шестигранник Коричневая,22029001,Строительные материалы,885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Pie Basic Шестигранник Серая,22029201,Строительные материалы,885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Pie Basic Шестигранник Красная,22029101,Строительные материалы,885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Pie Basic Лабиринт Серая,22028801,Строительные материалы,885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Pie Basic Шестигранник Зелёная,22028901,Строительные материалы,885.00 ₽,840.75 ₽
"Профлист С-8 оцинкованный 2000х1200х0,4мм",5398801,Строительные материалы,439.70 ₽,
"Профлист СП20-1100 RAL6005 зелёный мох 2000х1150х0,4мм",5398201,Строительные материалы,1 295.00 ₽,1 165.50 ₽
"Профлист С-8 Naive тёмное дерево 2000х1200х0,45мм",9946401,Строительные материалы,2 400.30 ₽,2 280.28 ₽
"Профлист С-8 Darkwal тёмный орех 2000х1200х0,45мм",9946201,Строительные материалы,2 400.30 ₽,2 280.28 ₽
"Профлист С-13 PDP4201 светлое дерево 2000х1170х0,45мм",9945701,Строительные материалы,2 236.95 ₽,2 125.10 ₽
"Лист плоский оцинкованный 1250x2500x0,65мм",5399401,Строительные материалы,2 349.00 ₽,2 231.55 ₽
"Профлист С-13 Darkwal тёмный орех 2000х1170х0,45мм",9945601,Строительные материалы,2 236.95 ₽,2 125.10 ₽
"Профлист СП20-1100 RAL8017 шоколад 3000х1150х0,4мм",5398701,Строительные материалы,1 946.00 ₽,1 751.40 ₽
"Профлист СП20-1100 RAL6005 зелёный мох 3000х1150х0,4мм",5398601,Строительные материалы,1 876.50 ₽,1 782.67 ₽
"Профлист СП20-1100 RAL3005 красное вино 3000x1150х0,4мм",5398401,Строительные материалы,1 876.50 ₽,1 782.67 ₽
"Профлист С8-1150 RAL8017 шоколад 3000х1200х0,4мм",5397901,Строительные материалы,1 946.00 ₽,1 751.40 ₽
"Профлист С8-1150 RAL6005 зелёный мох 3000х1200х0,4мм",5397801,Строительные материалы,1 876.50 ₽,1 782.67 ₽
"Профлист С8-1150 RAL3005 красное вино 3000х1200х0,4мм",5397601,Строительные материалы,1 876.50 ₽,1 782.67 ₽
"Лист плоский RAL8017 шоколадный 2500х1250х0,35мм",9945401,Строительные материалы,1 790.60 ₽,1 611.54 ₽
