Категория,Артикул,Наименование,Цена,Цена по карте / Акция
/Инженерные системы/Трубная теплоизоляция,тов-192511,Теплоизоляция д/труб из вспененного п/э d=54х13 мм (2 м),78,75
/Инженерные системы/Трубная теплоизоляция,тов-192512,Теплоизоляция д/труб из вспененного п/э d=60х13 мм (2 м),95,91
/Инженерные системы/Трубная теплоизоляция,тов-192513,Теплоизоляция д/труб из вспененного п/э d=76х13 мм (2 м),126,120
/Инженерные системы/Трубная теплоизоляция,тов-192514,Теплоизоляция д/труб из вспененного п/э d=110х13 мм (2 м),176,168
/Инженерные системы/Герметизация соединений,тов-104890,Лён сантехнический Uniflax 20 г (пакет),27,26
/Инженерные системы/Герметизация соединений,тов-153566,"Клей для труб из ПВХ Henkel Тангит PVC-U, 125 г",270,260
/Инженерные системы/Герметизация соединений,тов-117608,Смазка для монтажа пластиковых труб FORPLAST (250 мл),179,171
/Инженерные системы/Герметизация соединений,тов-062005,Паста для уплотнения резьбовых соединений ГАЗ (25 гр),67,64
/Инженерные системы/Герметизация соединений,тов-166182,Нить сантехническая льняная Uniflax 110 м,173,164
/Инженерные системы/Герметизация соединений,тов-078971,Паста для уплотнения резьбовых соединений ГАЗ (60 гр),145,138
/Инженерные системы/Герметизация соединений,тов-054090,"Лента ФУМ д/газа малая 12 мм х 0,1 мм х 10 м, 0.3 г/см3, ЭКОНОМ, желтая",21,20
/Инженерные системы/Герметизация соединений,тов-062020,Паста для уплотнения резьбовых соединений ВОДА (70 гр),129,123
/Инженерные системы/Герметизация соединений,тов-166183,Нить сантехническая льняная Uniflax 55 м,100,95
/Инженерные системы/Герметизация соединений,тов-061826,Лён сантехнический Uniflax 100 г (пакет),85,81
/Инженерные системы/Герметизация соединений,тов-061827,Лён сантехнический Uniflax 500 г (пакет),363,345
/Инженерные системы/Герметизация соединений,тов-061478,"Комплект монтажный №1 для воды (паста 25 гр, лен 7 гр)",65,62
/Инженерные системы/Герметизация соединений,тов-049136,"Лента ФУМ д/воды малая 12 мм х 0,07 5мм х 10 м, 0.2 г/см3, ЭКОНОМ, белая",15,14
/Инженерные системы/Герметизация соединений,тов-061473,"Комплект монтажный №3 для газа (паста 25 гр, лен 7 гр)",87,83
/Инженерные системы/Герметизация соединений,тов-054343,Лён сантехнический Uniflax 200 г (коса),158,150
/Инженерные системы/Герметизация соединений,тов-061480,"Комплект монтажный №2 для воды (паста 70 гр, лен 15 гр)",143,136
/Инженерные системы/Герметизация соединений,тов-062018,Паста для уплотнения резьбовых соединений ВОДА (400 гр),233,222
/Инженерные системы/Герметизация соединений,тов-038787,"Клей для труб из ПВХ Henkel Тангит PVC-U, 1 кг",1674,1612
/Инженерные системы/Герметизация соединений,тов-120101,"Момент Нить-герметик Henkel Момент Гермент шоу-боксе, 30 м",380,366
/Инженерные системы/Герметизация соединений,тов-156862,"Анаэробный клей-герметик Henkel Тангит Металок, 50 мл",746,718
/Инженерные системы/Герметизация соединений,тов-096091,"Нить для гермет. резьб. соедин. Henkel Тангит Uni-Lock, в шоу-боксе, 20 м",341,329
/Инженерные системы/Герметизация соединений,тов-038788,"Клей для труб из ПВХ Henkel Тангит PVC-U, 500 г",986,949
/Инженерные системы/Герметизация соединений,тов-096084,"Клей для труб из ПВХ Henkel Тангит PVC-U, 250 г",526,506
/Инженерные системы/Герметизация соединений,тов-104525,"Нить для герметизации резьбовых соед. Henkel Тангит Uni-Lock, 160 м",1055,1016
/Инженерные системы/Герметизация соединений,тов-120100,"Момент Нить-герметик Henkel Момент Гермент шоу-боксе, 15 м",238,229
/Инженерные системы/Герметизация соединений,тов-021945,"Нить для гермет. резьб. соедин. Henkel Тангит Uni-Lock, на блистер-карте, 20 м",349,336
/Инженерные системы/Герметизация соединений,тов-062010,Паста для уплотнения резьбовых соединений ВОДА (25 гр),66,63
/Инженерные системы/Герметизация соединений,тов-169799,"Лента ФУМ д/газа большая 19 мм х 0,25 мм х 15 м, 0.3 г/см3, ПРОФИ, желтая",79,75
/Инженерные системы/Герметизация соединений,тов-169801,"Лента ФУМ д/воды большая 19 мм х 0,25 мм х 15 м, 0.3 г/см3, ПРОФИ, белая",77,73
/Инженерные системы/Герметизация соединений,тов-169800,"Лента ФУМ д/воды 12 мм x 0,075 мм x 10 м, малая",13,12
/Инженерные системы/Герметизация соединений,тов-170202,"Лента тефлоновая уплотнительная, ФУМ Henkel Момент, 12 м",49,47
/Инженерные системы/Герметизация соединений,тов-178207,"Нить для герметизации резьбовых соед. Henkel Тангит Uni-Lock, 100 м",701,675
/Инженерные системы/Герметизация соединений,тов-178579,"Эпоксидный герметизирующий состав Henkel Tangit Epoxy-Lock, 48 гр",261,251
/Инженерные системы/Герметизация соединений,тов-184027,"Нить для герметизации резьбовых соед. Henkel Тангит Uni-Lock, 50 м",386,372
/Инженерные системы/Герметизация соединений,тов-186833,"Комплект заглушек монтажных д/испытания давления, 1/2""",52,50
/Инженерные системы/Герметизация соединений,тов-187523,"Лента тефлоновая уплотнительная, ФУМ Henkel Момент, 20 м",72,69
/Инженерные системы/Герметизация соединений,тов-190698,Нить для герметизации резьбовых соединений Рекорд 50 м,178,169
/Инженерные системы/Герметизация соединений,тов-190699,"Анаэробный клей-герметик Сантехмастергель д/уплот.соед. до 1 1/2"", зеленый, 60 гр",397,377
/Инженерные системы/Герметизация соединений,тов-190700,"Анаэробный клей-герметик Сантехмастергель д/уплот. соед. до 2"", синий, 60 гр",397,377
/Инженерные системы/Герметизация соединений,тов-195610,"Анаэробный клей-герметик Стопмастергель д/уплот. соед. до 3"", красный, 60 гр",408,388
/Инженерные системы/Герметизация соединений,тов-196739,"Анаэробный клей-герметик Сантехмастергель д/уплот. рез.соед. до 2"" синий, 15 гр",151,143
/Инженерные системы/Герметизация соединений,тов-196738,"Анаэробный клей-герметик Сантехмастергель д/уплот. рез. соед. до 1 1/2"" зеленый, 15 гр",151,143
/Инженерные системы/Герметизация соединений,тов-192098,"Клей для труб из ХПВХ Henkel Tangit PVC-С, 700 г",1790,1723
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-031035,"Кабель ВВГ-Пнг-LS 2х1,5 мм2, черный, бухта-100 п.м.",2433,2312
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165679,"Кабель ВВГ-Пнг(А) Премиум 2х1,5 мм2, ГОСТ+, черный, бухта-10 п.м.",460,437
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-041744,"Кабель ВВГнг 5х1,5 мм2, черный, 1 п.м.",62,59
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-114432,"Кабель ВВГнг-LS 5х2,5 мм2, черный, 1 п.м.",123,117
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-042800,"Кабель ВВГнг 5х1,5 мм2, черный, бухта-100 п.м.",5912,5616
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-167053,"Кабель ВВГнг-LS 5х1,5 мм2, черный, бухта-100 п.м.",7751,7364
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-098721,"Кабель ВВГ-Пнг 3х2,5 мм2, черный, 1 п.м.",56,54
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-114431,"Кабель ВВГ-Пнг-LS 3х4 мм2, черный, 1 п.м.",112,107
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165682,"Кабель ВВГ-Пнг(А) Премиум 3х2,5 мм2, ГОСТ+, черный, бухта-10 п.м.",1065,1012
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165683,"Кабель ВВГ-Пнг(А) Премиум 2х1,5 мм2, ГОСТ+, черный, бухта-20 п.м.",884,840
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-093378,"Кабель ВВГ-Пнг-LS 3х1,5 мм2, черный, бухта-100 п.м.",3281,3117
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-098718,"Кабель ВВГ-Пнг 2х2,5 мм2, черный, 1 п.м.",40,38
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-114430,"Кабель ВВГ-Пнг-LS 3х2,5 мм2, черный, 1 п.м.",57,55
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165680,"Кабель ВВГ-Пнг(А) Премиум 2х2,5 мм2, ГОСТ+, черный, бухта-10 п.м.",719,684
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165144,"Кабель ВВГ-Пнг 2х4,0 мм2, черный, 1 п.м.",73,70
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-114427,"Кабель ВВГ-Пнг-LS 2х1,5 мм2, черный, 1 п.м.",26,25
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-100133,"Кабель ВВГ-Пнг 3х4 мм2, черный, 1 п.м.",102,97
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-098717,"Кабель ВВГ-Пнг 2х1,5 мм2, черный, 1 п.м.",25,24
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165146,"Кабель ВВГ-Пнг 2х6,0 мм2, черный, 1 п.м.",130,124
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165686,"Кабель ВВГ-Пнг(А) Премиум 3х2,5 мм2, ГОСТ+, черный, бухта-20 п.м.",2053,1951
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165681,"Кабель ВВГ-Пнг(А) Премиум 3х1,5 мм2, ГОСТ+, черный, бухта-10 п.м.",675,642
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-140218,"Провод ВВГмб-Пнг(А)-LS 2х2,5 мм2, черный, бухта-100 п.м.",4014,3814
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-114428,"Провод ВВГмб-Пнг(А)-LS 2х2,5 мм2, черный, 1 п.м.",43,41
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-098720,"Кабель ВВГмб-Пнг 3х1,5 мм2, черный, 1 п.м.",34,33
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165147,"Кабель ВВГ-Пнг 2х6,0 мм2, черный, бухта-100 п.м.",12611,11981
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-167052,"Кабель ВВГнг-LS 5х1,5 мм2, черный, 1 п.м.",79,76
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-049634,"Кабель ВВГ-Пнг 2х2,5 мм2, черный, бухта-100 п.м.",3838,3647
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-049637,"Кабель ВВГ-Пнг 3х4 мм2, черный, бухта-100 п.м.",9745,9258
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165684,"Кабель ВВГ-Пнг(А) Премиум 2х2,5 мм2, ГОСТ+, черный, бухта-20 п.м.",1382,1313
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-114429,"Кабель ВВГ-Пнг-LS 3х1,5 мм2, черный, 1 п.м.",35,34
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165685,"Кабель ВВГ-Пнг(А) Премиум 3х1,5 мм2, ГОСТ+, черный, бухта-20 п.м.",1335,1269
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165145,"Кабель ВВГ-Пнг 2х4,0 мм2, черный, бухта-100 п.м.",7021,6670
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-120267,"Кабель ВВГнг 5х2,5 мм2, черный, бухта-100 п.м.",9712,9226
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-031037,"Кабель ВВГ-Пнг-LS 3х2,5 мм2, черный, бухта-100 п.м.",5446,5174
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-049612,"Кабель ВВГнг 5х4 мм2, черный, 1 п.м.",114,108
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-049633,"Кабель ВВГ-Пнг 2х1,5 мм2, черный, бухта-100 п.м.",2328,2212
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-110214,"Кабель ВВГнг 5х2,5 мм2, черный, 1 п.м.",101,96
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-111852,"Кабель NYM 3х1,5 мм2, серый, 1 п.м.",40,38
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-093383,"Кабель АВВГп 2х2,5 мм2, 1 п.м.",16,15
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-098700,"Кабель АВВГп 3х2,5 мм2, 1 п.м.",22,21
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-112920,"Кабель NYM 2х2,5 мм2, серый, 1 п.м.",48,46
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-112918,"Кабель NYM 2х1,5 мм2, серый, 1 п.м.",33,32
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-112919,"Кабель NYM 2х2,5 мм2, серый, бухта-100 п.м.",4587,4358
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-120391,"Кабель ВВГмб-Пнг 3х1,5 мм2, черный, бухта-100 п.м.",3199,3040
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-140220,"Кабель ВВГ-Пнг-LS 3х4 мм2, черный, бухта-100 п.м.",10966,10418
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165140,"Кабель КГ 2х1,5мм2, гибкий, резиновая изоляция, черный, бухта-100п.м.",3762,3574
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165142,"Кабель КГ 3х1,5мм2, гибкий, резиновая изоляция, черный, бухта-100п.м.",5289,5025
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165141,"Кабель КГ 2х2,5мм2, гибкий, резиновая изоляция, черный, бухта-100п.м.",5996,5697
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-098692,"Кабель КГ 3х2,5 мм2, гибкий, резиновая изоляция, черный, 1 п.м.",82,78
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-165143,"Кабель КГ 3х2,5мм2, гибкий, резиновая изоляция, черный, бухта-100п.м.",7941,7544
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-119765,"Кабель КГ 3х1,5 мм2, гибкий, резиновая изоляция, черный, 1 п.м.",55,53
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-119764,"Кабель КГ 2х1,5 мм2, гибкий, резиновая изоляция, черный, 1 п.м.",40,38
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-056727,"Кабель КГ 2х2,5 мм2, гибкий, резиновая изоляция, черный, 1 п.м.",64,61
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-120392,"Кабель ВВГ-Пнг 3х2,5 мм2, черный, бухта-100 п.м.",5312,5047
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-112917,"Кабель NYM 2х1,5 мм2, серый, бухта-100 п.м.",3058,2906
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-056725,"Кабель ВВГнг-LS 5х2,5 мм2, черный, бухта-100 п.м.",11892,11298
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-112922,"Кабель NYM 3х2,5 мм2, серый, 1 п.м.",60,57
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-135821,"Кабель ВВГнг-LS 5х10 мм2, черный, 1 п.м.",308,293
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-170050,"Кабель ВВГнг-LS 5х16 мм2, черный, 1 п.м.",498,473
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-170045,"Кабель ВВГ-Пнг 3х6 мм2, черный, 1 п.м.",121,115
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-173182,"Кабель ВВГнг FRLS 3х1,5 мм2, черный, 1 п.м.",47,45
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-173183,"Кабель ВВГнг FRLS 3х2,5 мм2, черный, 1 п.м.",70,67
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-073676,"Кабель АВВГп 3х2,5 мм2, бухта-200 п.м.",4354,4136
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-098701,"Кабель АВВГп 2х2,5 мм2, бухта-200 п.м.",2936,2789
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-182331,"Кабель ВВГ-Пнг(А)-LS 2х1,5 мм2, ГОСТ 31996-2012, черный, 1 п.м.",33,32
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-182333,"Кабель ВВГ-Пнг(А)-LS 3х1,5 мм2, ГОСТ 31996-2012, черный, 1 п.м.",50,48
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-182332,"Кабель ВВГ-Пнг(А)-LS 2х2,5 мм2, ГОСТ 31996-2012, черный, 1 п.м.",51,49
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-182334,"Кабель ВВГ-Пнг(А)-LS 3х2,5 мм2, ГОСТ 31996-2012, черный, 1 п.м.",75,72
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-184312,"Кабель ВВГ-Пнг(А)-LS 2х1,5мм2, ГОСТ 31996-2012, черный, бухта-100 п.м.",3216,3056
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-184313,"Кабель ВВГ-Пнг(А)-LS 2х2,5мм2, ГОСТ 31996-2012, черный, бухта-100 п.м.",4926,4680
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-184311,"Кабель ВВГ-Пнг(А)-LS 3х2,5мм2, ГОСТ 31996-2012, черный, бухта-100 п.м.",7308,6943
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-184310,"Кабель ВВГ-Пнг(А)-LS 3х1,5мм2, ГОСТ 31996-2012, черный, бухта-100 п.м.",4743,4506
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-098703,"Кабель АВВГп 2х4 мм2, 1 п.м.",22,21
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-185347,"Кабель ВВГ-Пнг-LS 3х6 мм2, черный, 1 п.м.",138,131
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-185580,"Кабель АВВГп 2х4 мм2, бухта-200 п.м.",4169,3961
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-187079,"Кабель ВВГ-Пнг(А)-LS 3х4 мм2, ГОСТ 31996-2012, черный, 1 п.м.",120,114
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-188131,"Кабель ВВГ-Пнг(А)-LS 3х4 мм2, ГОСТ 31996-2012, черный, бухта-100 п.м.",11932,11336
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-190915,"Кабель ВВГнг(А)-LS 5х4 мм2, ГОСТ 31996-2012, черный, 1 п.м.",191,182
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-190917,"Кабель ВВГнг(А)-LS 5х10 мм2, ГОСТ 31996-2012, черный, 1 п.м.",455,433
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-190916,"Кабель ВВГнг (А)-LS 5х6 мм2, ГОСТ 31996-2012, черный, 1 п.м.",273,260
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-190918,"Кабель ВВГнг (А)-LS 5х16 мм2, ГОСТ 31996-2012, черный, 1 п.м.",714,679
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-192740,"Кабель ВВГ-Пнг(А)-FRLS, 3х1,5 мм2, ГОСТ 31996-2012, черный, 1 п.м.",66,63
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-192741,"Кабель ВВГ-Пнг(А)-FRLS, 3х2,5 мм2, ГОСТ 31996-2012, черный, 1 п.м.",94,90
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-197815,"Кабель ВВГнг(А)-LSLTx 3х1,5мм2, ГОСТ 31996-2012, черный, 1 п.м.",53,51
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-197816,"Кабель ВВГнг(А)-LSLTx 3х2,5мм2, ГОСТ 31996-2012, черный, 1 п.м.",79,76
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-198468,"Кабель КГ 3х4мм2, гибкий, резиновая изоляция, черный, бухта-100п.м.",13117,12462
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-198469,"Кабель КГ 3х4мм2, гибкий, резиновая изоляция, черный, 1 п.м.",136,130
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-204427,"Кабель NYM 2х1,5 мм2, серый, 1 п.м. ГОСТ 31996-2012",38,37
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-204428,"Кабель NYM 2х1,5 мм2, серый, бухта-100 п.м. ГОСТ 31996-2012",3612,3432
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-204437,"Кабель NYM 2х2,5 мм2, серый, 1 п.м. ГОСТ 31996-2012",54,52
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-204438,"Кабель NYM 2х2,5 мм2, серый, бухта-100 п.м. ГОСТ 31996-2012",5135,4879
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-204439,"Кабель NYM 3х1,5 мм2, серый, 1 п.м. ГОСТ 31996-2012",49,47
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-204440,"Кабель NYM 3х1,5 мм2, серый, бухта-100 п.м. ГОСТ 31996-2012",4718,4483
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-204441,"Кабель NYM 3х2,5 мм2, серый, 1 п.м. ГОСТ 31996-2012",74,71
/Электротехнические товары/Кабель и монтаж/Кабели силовые,тов-204442,"Кабель NYM 3х2,5 мм2, серый, бухта-100 п.м. ГОСТ 31996-2012",7005,6655
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098751,"Провод ПВС 2х1,5 мм2, белый (1 п.м.)",35,34
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098758,"Провод ПВС 3х4,0 мм2, белый (1 п.м.)",99,95
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165172,"Провод установочный ПУНП(ПБПП) 3х1,5 мм2, белый (бухта-100 п.м.)",3857,3665
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098744,"Провод соединительный гибкий ПУГНП(ПБППГ) 2х2,5 мм2, белый (1 п.м.)",37,36
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165160,"Провод ПВС 3х4,0 мм2, белый (бухта-100 п.м.)",9224,8763
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098740,"Провод установочный ПУНП(ПБПП) 3х1,5 мм2, белый (1 п.м.)",40,38
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161859,"Провод ПВС 3х2,5 мм2, белый (бухта-100 п.м.)",7265,6902
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161860,"Провод ШВВП 2х0,75мм2, белый (бухта-100п.м.)",1371,1303
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165166,"Провод соединительный гибкий ПУГНП(ПБППГ) 2х1,5 мм2, белый (100п.м.)",2086,1982
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165169,"Провод соединительный гибкий ПУГНП(ПБППГ) 3х2,5 мм2, белый (100п.м.)",5080,4826
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161858,"Провод ПВС 3х1,5 мм2, белый (бухта-100 п.м.)",3616,3436
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161857,"Провод ПВС 3х1,0 мм2, белый (бухта-100 п.м.)",3820,3629
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165171,"Провод установочный ПУНП(ПБПП) 2х2,5 мм2, белый (бухта-100 п.м.)",4167,3959
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161854,"Провод ПВС 2х1,5 мм2, белый (бухта-100 п.м.)",3263,3100
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098743,"Провод соединительный гибкий ПУГНП(ПБППГ) 2х1,5 мм2, белый (1 п.м.)",22,21
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098750,"Провод ПВС 2х1,0 мм2, белый (1 п.м.)",29,28
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165170,"Провод установочный ПУНП(ПБПП) 2х1,5 мм2, белый (бухта-100 п.м.)",2518,2393
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098754,"Провод ПВС 3х0,75 мм2, белый (1 п.м.)",30,29
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098747,"Провод соединительный гибкий ПУГНП(ПБППГ) 3х2,5 мм2, белый (1 п.м.)",53,51
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161844,"Провод ПВ-3 (ПУГВ) 1х1,5 мм2, синий (1 п.м.)",12,11
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165692,"Провод ПВ-3 (ПУГВ) 1х6 мм2, белый (бухта-100 п.м)",3376,3207
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161841,"Провод ПВ-3 (ПУГВ) 1х1,5 мм2, белый (1 п.м.)",12,11
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-093005,"Провод ПВ-3 (ПУГВ) 1х4 мм2, белый (1 п.м.)",24,23
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165691,"Провод ПВ-3 (ПУГВ) 1х6 мм2, белый (1 п.м)",35,33
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165690,"Провод ПВ-3 (ПУГВ) 1х6 мм2, желто-зеленый (бухта-100 п.м)",3376,3207
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161861,"Провод ШВВП 2х0,75 мм2, белый (1 п.м.)",16,16
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098737,"Провод установочный ПУНП(ПБПП) 2х1,5 мм2, белый (1 п.м.)",27,26
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098757,"Провод ПВС 3х2,5 мм2, белый (1 п.м.)",76,73
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161852,"Провод ПВС 2х0,75 мм2, белый (бухта-100 п.м.)",2142,2035
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165168,"Провод соединительный гибкий ПУГНП(ПБППГ) 3х1,5 мм2, белый (100п.м.)",3086,2932
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161853,"Провод ПВС 2х1,0 мм2, белый (бухта-100 п.м.)",2732,2596
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165189,"Провод ШВВП 2х0,5 мм2, белый (бухта-100 п.м.)",1016,966
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098746,"Провод соединительный гибкий ПУГНП(ПБППГ) 3х1,5 мм2, белый (1 п.м.)",32,31
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161855,"Провод ПВС 2х2,5 мм2, белый (бухта-100 п.м.)",4013,3813
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-098759,"Провод ШВВП 2х0,5 мм2, белый (1 п.м.)",12,12
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165156,"Провод ПВ-3 (ПУГВ) 1х4 мм2, белый (бухта-100 п.м.)",2286,2172
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161845,"Провод ПВ-3 (ПУГВ) 1х2,5 мм2, белый (1 п.м.)",17,16
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161847,"Провод ПВ-3 (ПУГВ) 1х2,5 мм2, синий (1 п.м.)",17,16
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-165157,"Провод ПВ-3 (ПУГВ) 1х4 мм2, желто-зеленый (бухта-100 п.м.)",2286,2172
/Электротехнические товары/Кабель и монтаж/Кабели бытовые,тов-161843,"Провод ПВ-3 (ПУГВ) 1х1,5 мм2, желто-зеленый (1 п.м.)",12,11
